Sl. No.,Year/State/UT,2018-19,2019-20,2020-21,2021-22,"2022-23 (upto September, 2022)"
1,Andaman and Nicobar Islands,74.0,1259,1464,613,310.0
2,Andhra Pradesh,62475.0,105667,66404,13199,5772.0
3,Arunachal Pradesh,4545.0,15700,51991,8884,532.0
4,Assam,49854.0,198896,362506,24517,8375.0
5,Bihar,84574.0,191902,96438,47493,11926.0
6,Chandigarh,5198.0,9507,3834,893,440.0
7,Chhattisgarh,42360.0,46548,16151,9495,4289.0
8,Delhi,81488.0,146205,55121,19965,2012.0
9,Goa,1751.0,4300,1709,604,134.0
10,Gujarat,83956.0,155195,48489,35001,6376.0
11,Haryana,115364.0,175386,54749,18161,8634.0
12,Himachal Pradesh,32048.0,48870,15612,8724,3287.0
13,Jammu and Kashmir,35455.0,122659,58927,21339,7183.0
14,Jharkhand,36487.0,120103,15452,34113,5172.0
15,Karnataka,110111.0,165247,53066,23153,7606.0
16,Kerala,35973.0,78523,31077,12968,5511.0
17,Ladakh,149.0,1937,181,731,246.0
18,Lakshadweep,0.0,60,90,120,0.0
19,Madhya Pradesh,154478.0,223483,95433,46629,21219.0
20,Maharashtra,165352.0,637002,148352,39864,14587.0
21,Manipur,4430.0,28962,34540,6424,1146.0
22,Meghalaya,7117.0,11999,17769,3406,1205.0
23,Mizoram,3062.0,10837,11433,4742,1147.0
24,Nagaland,1422.0,17364,14399,4184,1733.0
25,Odisha,89011.0,239050,68828,12645,11137.0
26,Puducherry,6317.0,7172,3241,1622,689.0
27,Punjab,63732.0,97681,57054,18539,7176.0
28,Rajasthan,138923.0,446900,98349,37984,9156.0
29,Sikkim,1932.0,5123,3634,1322,305.0
30,Tamil Nadu,123422.0,185108,72404,29057,7869.0
31,Telangana,57648.0,108145,33999,13107,7968.0
32,The Dadra and Nagar Haveli and Daman and Diu,3377.0,5338,222,252,0.0
33,Tripura,7549.0,50388,46676,4490,1343.0
34,Uttar Pradesh,303099.0,656829,239389,68912,24410.0
35,Uttarakhand,46864.0,68250,29412,10522,2840.0
36,West Bengal,80609.0,177880,53221,31406,12225.0
